downtown;в центре города
center of the city;центр города
grass;трава
pelouse, gazon;газон
sidewalk;тротуар
gateway;мостовая 
gateway;шоссе
road;Дорога
nature;природа
natural;натуральный
artificial;искусственный
tree;дерево
vacation;отпуск 
holidays;каникулы
bike;велосипед
motorbike;мотоцикл
car;автомобиль
plane;самолёт 
boat;лодка
bus;автобус
taxi;такси
train;поезд
gare;вокзал 
aéroport;аэропорт 
arrêt (bus);остановка 
garage;гараж 
parking;стоянка 
sea;море
mountain;гора
town;город
village, countryside;деревня
countryside;сельская местность
lake;озеро
appartement;квартира 
lift;лифт
escaliers;лестница
garden;сад
salle, chambre;комната 
kitchen;кухня
fridge;холодильник
washmachine;стиральная машина
dishwasher;посудомоечная машина
plate;тарелка
fork;вилка
knife;нож
spoon;ложка
glass;стакан
bedroom;Спальня
bed;постель
living room;гостиная
wall;стена
floor;пол
ceiling;потолок
window;окно
door;дверь
tap;кран 
meuble;мебель 
box;коробка
beverage;напиток
water;вода
juice;сок
wine;вино
beer;пиво
alcohol;алкоголь
milk;молоко
coffee;кофе
tea;чай
cocoa;какао
bottle;бутылка
bank;банка
mall;Торговый (commercial) центр
shop;магазин
restaurant;ресторан
café;кафе 
weather;Погода 
a kind of thing;своего рода вещи
a kind of car;своего рода автомобиль
a kind of road;своего рода дороги
thing;вещь
stuffs;вещи
for now;на данный момент
till now;до настоящего(present) времени 
